Type,Geometry
LINESTRING,"LINESTRING (-100.76983 20.497148, -100.76983 20.497148, -100.76983 20.497148, -100.76983 20.497148, -100.76983 20.497148, -100.749233 20.6724, -100.749233 20.6724, -100.9534 21.83005, -100.9534 21.83005, -100.896743 22.031191, -100.896743 22.031191, -100.968 22.1512, -100.968 22.1512, -101.016273 22.637698, -101.016273 22.637698, -100.9489 23.883317, -100.9489 23.883317, -100.870683 24.518333, -100.870683 24.518333, -101.109416 25.1215, -101.109416 25.1215, -101.015583 25.420933, -101.015583 25.420933, -100.967266 25.508433, -100.967266 25.508433, -100.300083 25.859833, -100.300083 25.859833, -100.280555 25.969389, -100.280555 25.969389, -99.684516 27.464617, -99.684516 27.464617, -99.684516 27.464617, -99.516578 27.506221, -99.516578 27.506221, -99.516578 27.506221, -99.2324 27.2959, -99.427619 27.49832, -97.66183 27.78711, -97.66183 27.78711, -95.9998 29.4478, -95.9998 29.4478, -94.0133 30.12435, -94.0133 30.12435, -93.274845 31.137383, -93.274845 31.137383, -93.689721 32.251666, -93.689721 32.251666, -93.742499 32.441944, -93.742499 32.441944, -93.836171 32.536494, -93.836171 32.536494, -94.3825 33.98417, -94.3825 33.98417, -94.607477 34.891892, -94.607477 34.891892, -94.689 37.381, -87.918584 41.953388, -94.689 37.381, -94.502115 39.060471, -94.502115 39.060471, -94.60913 39.08136, -94.60913 39.08136, -94.60913 39.08136, -92.4119 41.0161, -92.4119 41.0161, -91.05736 41.412993, -90.800884 41.45872, -90.630235 41.493844, -90.495805 41.524967, -90.179725 42.055707, -90.152087 42.088109, -90.152087 42.088109, -89.090315 42.099721, -89.090315 42.099721, -88.530278 42.097778, -87.918584 41.953388, -87.90814 41.950321, -87.90814 41.950321, -87.777769 41.76625, -87.462622 41.667143, -85.96975 41.68104, -85.96975 41.68104, -84.60967 41.579092, -83.193071 42.268044, -82.970963 42.273912, -82.970963 42.273912, -82.71326 42.285495, -82.1756 42.3996, -81.190056 43.003559, -81.190056 43.003559, -81.190056 43.003559, -80.7392 43.1255, -80.72704 43.159169, -80.72704 43.159169, -79.759963 43.655351, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -79.5077 43.786, -79.273 43.787, -79.273 43.787)"
POINT Origin,POINT (-100.7737132 20.47019833)
POINT Destination,POINT (-79.250126 43.80637638364665)
